Year,7 Food products,8 Paper and allied products,9 Bulk chemicals,10 Glass and glass products,11 Cement and lime,12 Iron and steel,13 Aluminum,14 Fabricated metals,15 Machinery,16 Computers and electronics,17 Transportation equipment,"18 Electrical equipment, appliance, and components",19 Wood products,20 Plastic and rubber products,21 Light chemicals,22 Other non-metallic minerals,23 Other primary metals,24 Miscellaneous finished goods
2018,248.571559684,183.481313364,405.467077436,51.462131456,38.60382862,201.532400416,70.017348332,142.644692416,84.141701064,145.206493668,161.416813544,34.173513808,72.868715788,176.1116595,83.406193284,21.060286804,72.517313908,158.170428612
2019,252.50927382,178.665449376,397.074345608,56.731419536,39.520762676,192.04269694,68.149124792,141.138137464,84.847524444,151.83857208,158.336057328,34.333884632,67.332309052,170.935730564,85.731423516,21.67496884,70.493649884,152.953896876
2020,257.329689416,164.675392964,355.942805028,55.069263736,38.70502854,166.730290436,55.208964664,126.882873116,75.811460016,153.80326992,159.982019776,30.248099932,68.025542152,163.12645756,85.862014404,20.990374924,64.276545736,141.501136732
2021,272.827348264,170.77389258,400.26042344,57.138829396,38.963722968,190.944200128,58.587888736,135.775050092,81.263822368,159.045183524,170.855364316,31.637398092,72.931233864,179.460847992,89.81448544,23.804537932,69.2280299,148.550724524
