5 NG FEEDSTOCK      ,5,1,0,0,0,0,0.127938,0.216383,0.213414,0.211303,0.215703,0.223829,0.244196,0.247676,0.251173,0.255718,0.259458,0.263145,0.267694,0.271602,0.275775,0.281258,0.285455,0.289974,0.294456,0.298557,0.302811,0.306692,0.311175,0.315644,0.320211,0.324545,0.328624,0.332632,0.336475,0.340943,0.345029,0.349228,0.353879,0.358815
5 NG FEEDSTOCK      ,5,2,0,0,0,0,0.301154,0.499619,0.475953,0.471244,0.481057,0.49918,0.494863,0.496012,0.496182,0.496765,0.496773,0.497283,0.497592,0.498072,0.498405,0.49523,0.496689,0.496723,0.496964,0.498703,0.497939,0.497259,0.496348,0.496695,0.498681,0.499782,0.501189,0.50214,0.503017,0.50399,0.505037,0.50526,0.506279,0.508627
5 NG FEEDSTOCK      ,5,3,0,0,0,0,1.595327,2.67265,2.468565,2.444141,2.495038,2.589032,2.545405,2.531528,2.522819,2.509394,2.499628,2.489599,2.478303,2.468259,2.458429,2.459484,2.448919,2.443829,2.439386,2.43009,2.429373,2.429867,2.431271,2.429746,2.42247,2.41826,2.413747,2.41142,2.410374,2.408749,2.407459,2.409207,2.408251,2.403355
5 NG FEEDSTOCK      ,5,4,0,0,0,0,0.171912,0.291033,0.286814,0.283976,0.28989,0.300811,0.321894,0.323992,0.32568,0.328334,0.330959,0.332903,0.33555,0.337717,0.340064,0.343257,0.343896,0.344456,0.344325,0.344021,0.344139,0.343626,0.342891,0.341238,0.339432,0.337921,0.336137,0.334168,0.331783,0.329393,0.32689,0.324372,0.321737,0.318757
6 LEASE AND PLANT   ,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 LEASE AND PLANT   ,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 LEASE AND PLANT   ,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 LEASE AND PLANT   ,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 STEAM COAL        ,7,1,0,0,0,0,0.464627,0.281166,0.126974,0.118913,0.11931,0.120336,0.121203,0.122054,0.122876,0.123655,0.124377,0.12503,0.125602,0.126085,0.126469,0.126748,0.126917,0.126974,0.126974,0.126974,0.126974,0.126974,0.126974,0.126974,0.126974,0.126974,0.126974,0.126974,0.126974,0.126974,0.126974,0.126974,0.126974,0.126974
7 STEAM COAL        ,7,2,0,0,0,0,1.376113,1.071453,1.051981,0.985195,0.98849,0.99699,1.004168,1.011223,1.018034,1.024485,1.030466,1.035874,1.040617,1.044613,1.047795,1.050107,1.05151,1.051981,1.051981,1.051981,1.051981,1.051981,1.051981,1.051981,1.051981,1.051981,1.051981,1.051981,1.051981,1.051981,1.051981,1.051981,1.051981,1.051981
7 STEAM COAL        ,7,3,0,0,0,0,0.879595,1.166334,2.477959,2.320644,2.328407,2.348428,2.365335,2.381953,2.397998,2.413194,2.427282,2.440021,2.451192,2.460605,2.468099,2.473546,2.476851,2.477959,2.477959,2.477959,2.477959,2.477959,2.477959,2.477959,2.477959,2.477959,2.477959,2.477959,2.477959,2.477959,2.477959,2.477959,2.477959,2.477959
7 STEAM COAL        ,7,4,0,0,0,0,0.996563,1.282942,1.982775,1.856897,1.863109,1.879129,1.892658,1.905955,1.918793,1.930952,1.942225,1.952418,1.961357,1.968889,1.974886,1.979244,1.981889,1.982775,1.982775,1.982775,1.982775,1.982775,1.982775,1.982775,1.982775,1.982775,1.982775,1.982775,1.982775,1.982775,1.982775,1.982775,1.982775,1.982775
8 MET COAL          ,8,1,0,0,0,0,143.126587,0.905128,1.463238,1.439571,1.448845,1.645469,1.621683,1.598304,1.575732,1.554353,1.534534,1.516612,1.500896,1.487653,1.47711,1.469448,1.464797,1.463238,1.463238,1.463238,1.463238,1.463238,1.463238,1.463238,1.463238,1.463238,1.463238,1.463238,1.463238,1.463238,1.463238,1.463238,1.463238,1.463238
8 MET COAL          ,8,2,0,0,0,0,10.012688,1.692481,1.456348,1.432791,1.442022,1.63772,1.614046,1.590777,1.568312,1.547034,1.527308,1.50947,1.493828,1.480647,1.470154,1.462528,1.457899,1.456348,1.456348,1.456348,1.456348,1.456348,1.456348,1.456348,1.456348,1.456348,1.456348,1.456348,1.456348,1.456348,1.456348,1.456348,1.456348,1.456348
8 MET COAL          ,8,3,0,0,0,0,10.19251,0.28555,0.205652,0.202326,0.203629,0.231264,0.227921,0.224635,0.221463,0.218458,0.215672,0.213154,0.210945,0.209083,0.207602,0.206525,0.205871,0.205652,0.205652,0.205652,0.205652,0.205652,0.205652,0.205652,0.205652,0.205652,0.205652,0.205652,0.205652,0.205652,0.205652,0.205652,0.205652,0.205652
8 MET COAL          ,8,4,0,0,0,0,0,0,1,0.983825,0.990163,1.124539,1.108283,1.092306,1.07688,1.062269,1.048724,1.036477,1.025736,1.016685,1.00948,1.004244,1.001065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9 NET COKE IMPORT   ,9,1,0,0,0,0,0,0.607228,0.603943,0.605096,0.634732,0.599304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9 NET COKE IMPORT   ,9,2,0,0,0,0,0,2.208338,2.271362,2.275699,2.387156,2.253916,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9 NET COKE IMPORT   ,9,3,0,0,0,0,0,0.577795,0.570911,0.572001,0.600016,0.566526,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9 NET COKE IMPORT   ,9,4,0,0,0,0,0,1,1,1.001909,1.05098,0.992319,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10 RESID            ,10,1,0,0,0,0,1.002442,0.441077,0.96346,0.641551,0.761906,0.713429,0.746065,0.778142,0.809112,0.838444,0.865638,0.890227,0.911792,0.929962,0.944427,0.95494,0.961321,0.96346,0.96346,0.96346,0.96346,0.96346,0.96346,0.96346,0.96346,0.96346,0.96346,0.96346,0.96346,0.96346,0.96346,0.96346,0.96346,0.96346
10 RESID            ,10,2,0,0,0,0,0.397567,0.265034,0.753392,0.501671,0.595784,0.557877,0.583397,0.60848,0.632698,0.655635,0.676899,0.696127,0.71299,0.727198,0.73851,0.74673,0.75172,0.753392,0.753392,0.753392,0.753392,0.753392,0.753392,0.753392,0.753392,0.753392,0.753392,0.753392,0.753392,0.753392,0.753392,0.753392,0.753392,0.753392
10 RESID            ,10,3,0,0,0,0,2.074047,0.870107,2.676589,1.782293,2.116652,1.981979,2.072644,2.161757,2.247795,2.329284,2.40483,2.473142,2.53305,2.583529,2.623715,2.65292,2.670646,2.676589,2.676589,2.676589,2.676589,2.676589,2.676589,2.676589,2.676589,2.676589,2.676589,2.676589,2.676589,2.676589,2.676589,2.676589,2.676589,2.676589
10 RESID            ,10,4,0,0,0,0,8.05871,0.170682,9.686197,6.449865,7.659864,7.172501,7.500604,7.823094,8.134451,8.429349,8.702743,8.949953,9.166751,9.349426,9.494854,9.600546,9.664692,9.686197,9.686197,9.686197,9.686197,9.686197,9.686197,9.686197,9.686197,9.686197,9.686197,9.686197,9.686197,9.686197,9.686197,9.686197,9.686197,9.686197
11 DISTILLATE       ,11,1,0,0,0,0,1.136114,1.093093,1.30788,1.234451,1.26064,1.296431,1.297926,1.299394,1.300812,1.302156,1.303401,1.304527,1.305514,1.306346,1.307009,1.30749,1.307782,1.30788,1.30788,1.30788,1.30788,1.30788,1.30788,1.30788,1.30788,1.30788,1.30788,1.30788,1.30788,1.30788,1.30788,1.30788,1.30788,1.30788
11 DISTILLATE       ,11,2,0,0,0,0,1.159244,1.119724,1.184922,1.118396,1.142123,1.174549,1.175903,1.177234,1.178519,1.179735,1.180864,1.181884,1.182778,1.183532,1.184132,1.184568,1.184833,1.184922,1.184922,1.184922,1.184922,1.184922,1.184922,1.184922,1.184922,1.184922,1.184922,1.184922,1.184922,1.184922,1.184922,1.184922,1.184922,1.184922
11 DISTILLATE       ,11,3,0,0,0,0,1.159695,1.084902,1.149838,1.085282,1.108307,1.139773,1.141087,1.142378,1.143625,1.144806,1.1459,1.14689,1.147758,1.14849,1.149072,1.149495,1.149752,1.149838,1.149838,1.149838,1.149838,1.149838,1.149838,1.149838,1.149838,1.149838,1.149838,1.149838,1.149838,1.149838,1.149838,1.149838,1.149838,1.149838
11 DISTILLATE       ,11,4,0,0,0,0,1.16865,1.080705,1.156879,1.091928,1.115093,1.146752,1.148074,1.149373,1.150628,1.151816,1.152917,1.153913,1.154787,1.155523,1.156108,1.156534,1.156793,1.156879,1.156879,1.156879,1.156879,1.156879,1.156879,1.156879,1.156879,1.156879,1.156879,1.156879,1.156879,1.156879,1.156879,1.156879,1.156879,1.156879
12 LPG HP           ,12,1,0,0,0,0,5.063413,7.17656,6.13066,5.610197,6.670655,3.868084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12 LPG HP           ,12,2,0,0,0,0,2.683459,2.478862,2.843792,2.602368,3.094276,1.794265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12 LPG HP           ,12,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12 LPG HP           ,12,4,0,0,0,0,4.367205,7.177704,6.80968,6.231572,7.409485,4.296506,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13 LPG FEEDSTOCK    ,13,1,0,0,0,0,0.738869,0.836475,0.865798,0.907247,0.971061,0.995813,1.009694,1.007548,1.006379,1.01538,1.020809,1.028071,1.036242,1.04372,1.049566,1.055436,1.061638,1.069151,1.07374,1.078928,1.085163,1.088801,1.093006,1.097949,1.1051,1.109605,1.113086,1.115622,1.117364,1.121133,1.124637,1.128974,1.131764,1.139696
13 LPG FEEDSTOCK    ,13,2,0,0,0,0,0.717175,0.802679,0.823187,0.862596,0.923269,0.946803,0.972511,0.972789,0.964374,0.960138,0.956806,0.952831,0.952206,0.949045,0.945977,0.942914,0.93964,0.93691,0.931068,0.927739,0.924557,0.921459,0.919433,0.915743,0.913861,0.909997,0.907548,0.904818,0.901734,0.897721,0.896555,0.894645,0.891028,0.889385
13 LPG FEEDSTOCK    ,13,3,0,0,0,0,1.186084,1.319393,1.354059,1.418882,1.518685,1.557395,1.599436,1.62031,1.6226,1.624533,1.625604,1.627103,1.628634,1.629862,1.631041,1.632198,1.63353,1.635005,1.636535,1.637906,1.639264,1.640617,1.641655,1.642595,1.644006,1.645289,1.646309,1.647098,1.647817,1.648907,1.649543,1.649577,1.650848,1.652818
13 LPG FEEDSTOCK    ,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
