,,3,5.29,6.92,10.91,1.93,2.04,0.52,0.81,0,0,0.05,0,0
,,4,2.46,3.22,3.22,0.57,0.95,0.15,0.38,0,0,0.02,0,0
*,,,,,,,,,,,,,,
21,LtChem,1,0.99,1.75,2.51,2.41,0.54,0.26,0.1,0.06,0.03,0.06,0.21,0.06
,,2,2.59,4.62,9.55,9.2,1.43,1.01,0.26,0.28,0.1,0.23,0.55,0.24
,,3,3.61,6.43,19.15,18.44,1.99,2.02,0.36,0.35,1.73,0.46,0.77,0.48
,,4,1.68,3,5.66,5.45,0.93,0.6,0.17,0.2,0.03,0.14,0.36,0.14
*,,,,,,,,,,,,,,
22,OthrNonMetal,1,0.32,0.31,0.73,0,0.21,0,0,0.45,0.01,0,0,0
,,2,0.83,0.82,2.8,0,0.56,0,0,2.14,0.05,0.01,0,0
,,3,1.16,1.14,5.61,0,0.77,0,0.01,2.74,0.83,0.02,0,0
,,4,0.54,0.53,1.66,0,0.36,0,0,1.57,0.01,0.01,0,0
*,,,,,,,,,,,,,,
23,OthrPrimMetal,1,0,0,0.95,0,0,0,0,0,0,0,0,0
,,2,0,0,3.63,0,0,0,0,0,0,0,0,0
,,3,0,0,7.27,0,0,0,0,0,0,0,0,0
,,4,0,0,2.15,0,0,0,0,0,0,0,0,0
*,,,,,,,,,,,,,,
24,MiscFinished,1,1.77,3.32,2.17,0,0.54,0.18,0.17,0.19,0,0,0.49,0.16
,,2,4.65,8.74,8.26,0,1.43,0.7,0.44,0.9,0,0,1.29,0.62
,,3,6.47,12.18,16.57,0,2,1.4,0.61,1.15,0,0,1.79,1.25
,,4,3.01,5.67,4.9,0,0.93,0.41,0.28,0.66,0,0,0.83,0.37
