year,description,H2_feedstock_industrial_gases_1,H2_feedstock_industrial_gases_2,H2_feedstock_industrial_gases_3,H2_feedstock_industrial_gases_4,H2_feedstock_other_inorganics_1,H2_feedstock_other_inorganics_2,H2_feedstock_other_inorganics_3,H2_feedstock_other_inorganics_4,H2_feedstock_petrochemicals_1,H2_feedstock_petrochemicals_2,H2_feedstock_petrochemicals_3,H2_feedstock_petrochemicals_4,H2_feedstock_other_organics_1,H2_feedstock_other_organics_2,H2_feedstock_other_organics_3,H2_feedstock_other_organics_4,H2_feedstock_resins_1,H2_feedstock_resins_2,H2_feedstock_resins_3,H2_feedstock_resins_4,H2_feedstock_agricultural_chemicals_1,H2_feedstock_agricultural_chemicals_2,H2_feedstock_agricultural_chemicals_3,H2_feedstock_agricultural_chemicals_4,H2_feedstock_refining_1,H2_feedstock_refining_2,H2_feedstock_refining_3,H2_feedstock_refining_4,H2_feedstock_refining_5,H2_feedstock_refining_6,H2_feedstock_refining_7,H2_feedstock_refining_8,H2_feedstock_refining_9
2022,supply,0,6,136,18,4,0,13,1,0,0,0,0,0,0,73,1,1,0,73,0,0,95,227,1,0,2,9,31,3,20,30,18,39
2022,demand,0,0,0,0,4,0,13,1,0,0,0,0,0,0,73,1,1,0,73,0,0,95,259,1,0,0,0,0,0,0,0,0,0
