table,filename
steo_dcrdwhp,steo_dcrdwhp.csv
steo_ogngplbu,steo_ogngplbu.csv
steo_ogngplet,steo_ogngplet.csv
steo_ogngplis,steo_ogngplis.csv
steo_ogngplpp,steo_ogngplpp.csv
steo_ogngplpr,steo_ogngplpr.csv
steo_ogngplprd,steo_ogngplprd.csv
steo_rfqtdcrd,steo_rfqtdcrd.csv
steo_togqshlgas,steo_togqshlgas.csv
steo_togqshloil,steo_togqshloil.csv
steo_ogenagprd,steo_ogenagprd.csv
steo_ogadgprd,steo_ogadgprd.csv
steo_owrite_can,steo_owrite_can.csv
steo_owrite_ngpls,steo_owrite_ngpls.csv
steo_owrite_rfqtdcrd,steo_owrite_rfqtdcrd.csv
steo_owrite_ad_ng,steo_owrite_ad_ng.csv
steo_owrite_na_ng,steo_owrite_na_ng.csv
steo_owrite_ogeorprd,steo_owrite_ogeorprd.csv
steo_owrite_ogqngrep,steo_owrite_ogqngrep.csv
