MNUMYR,MNUMNR,M24,M4,M3,Gen45VDataByTech
34,1,19,1,3,307.04
34,1,19,2,1,1167.09
34,1,19,2,2,131.33
34,1,19,2,3,636.84
34,1,19,3,1,542.5
34,1,19,3,2,11.87
34,1,19,3,3,315.21
34,1,19,4,1,1309.38
34,1,19,4,2,1.59
34,1,19,4,3,563.87
34,1,20,1,1,883.6
34,1,20,1,2,7.26
34,1,20,1,3,296.41
34,1,20,2,1,1341.8
34,1,20,2,2,21.17
34,1,20,2,3,625.32
34,1,20,3,1,687.85
34,1,20,3,3,302.19
34,1,20,4,1,1513.2
34,1,20,4,2,1.32
34,1,20,4,3,591.19
34,1,21,1,1,974.42
34,1,21,1,2,0.88
34,1,21,1,3,291.21
34,1,21,2,1,1636.21
34,1,21,2,3,606.55
34,1,21,3,1,789.4
34,1,21,3,3,301.15
34,1,21,4,1,1629.5
34,1,21,4,2,2.26
34,1,21,4,3,576.8
34,1,22,1,1,1035.45
34,1,22,1,3,301.73
34,1,22,2,1,1864.82
34,1,22,2,3,606.29
34,1,22,3,1,846.47
34,1,22,3,3,301.4
34,1,22,4,1,1703.64
34,1,22,4,3,571.78
34,1,23,1,1,1073.83
34,1,23,1,3,291.76
34,1,23,2,1,1998.11
34,1,23,2,3,606.09
34,1,23,3,1,889.71
34,1,23,3,3,300.98
34,1,23,4,1,1741.38
34,1,23,4,3,562.26
34,1,24,1,1,1094.3
34,1,24,1,3,290.8
34,1,24,2,1,2069.99
34,1,24,2,3,604.63
34,1,24,3,1,913.57
34,1,24,3,3,300.06
34,1,24,4,1,1775.37
34,1,24,4,3,568.43
34,2,1,1,3,232.28
34,2,1,2,3,489.03
34,2,1,3,3,243.57
34,2,1,4,3,443.58
34,2,2,1,3,231.35
34,2,2,2,3,487.27
34,2,2,3,3,241.89
34,2,2,4,3,444.27
34,2,3,1,3,231.56
34,2,3,2,3,487.04
34,2,3,3,3,241.88
34,2,3,4,3,443.28
34,2,4,1,3,230.21
34,2,4,2,3,486.26
34,2,4,3,3,241.28
34,2,4,4,3,441.39
34,2,5,1,3,230.93
34,2,5,2,3,485.81
34,2,5,3,3,241.32
34,2,5,4,3,442.01
34,2,6,1,3,231.61
34,2,6,2,3,486.33
34,2,6,3,3,241.67
34,2,6,4,3,442.92
34,2,7,1,2,5.37
34,2,7,1,3,232.85
34,2,7,2,2,34.24
34,2,7,2,3,487.35
34,2,7,3,2,3.1
34,2,7,3,3,242.3
34,2,7,4,3,444.57
34,2,8,1,2,71.2
34,2,8,1,3,233.41
34,2,8,2,2,157.82
34,2,8,2,3,489.36
34,2,8,3,2,83.41
34,2,8,3,3,244.16
34,2,8,4,2,68.05
34,2,8,4,3,447.58
34,2,9,1,2,176.67
34,2,9,1,3,233.69
34,2,9,2,2,336.94
34,2,9,2,3,489.42
34,2,9,3,2,186
34,2,9,3,3,243.34
34,2,9,4,2,283.82
34,2,9,4,3,445.96
34,2,10,1,2,268.47
34,2,10,1,3,233.96
34,2,10,2,2,490.76
34,2,10,2,3,490.81
34,2,10,3,2,269.15
34,2,10,3,3,243.99
34,2,10,4,2,460.1
34,2,10,4,3,447.05
34,2,11,1,2,331.05
34,2,11,1,3,233.48
34,2,11,2,2,582.21
34,2,11,2,3,492.3
34,2,11,3,2,319.33
34,2,11,3,3,244.57
34,2,11,4,2,585.07
34,2,11,4,3,447.12
34,2,12,1,2,333.71
34,2,12,1,3,234.68
34,2,12,2,2,624.21
34,2,12,2,3,493.83
34,2,12,3,2,327.6
34,2,12,3,3,245.07
34,2,12,4,2,636.29
34,2,12,4,3,447.28
34,2,13,1,2,333.71
34,2,13,1,3,234.46
34,2,13,2,2,613.5
34,2,13,2,3,494.71
34,2,13,3,2,325.83
34,2,13,3,3,245.49
34,2,13,4,2,642.25
34,2,13,4,3,447.75
34,2,14,1,2,333.71
34,2,14,1,3,234.14
34,2,14,2,2,592.03
34,2,14,2,3,496.46
34,2,14,3,2,314.98
34,2,14,3,3,245.83
34,2,14,4,2,625.69
34,2,14,4,3,447.42
34,2,15,1,2,318.31
34,2,15,1,3,234.42
34,2,15,2,2,515.51
34,2,15,2,3,496.4
34,2,15,3,2,270.71
34,2,15,3,3,246.03
34,2,15,4,2,556.52
34,2,15,4,3,448.58
34,2,16,1,2,258.36
34,2,16,1,3,234.99
34,2,16,2,2,412.68
34,2,16,2,3,496.81
34,2,16,3,2,209.32
34,2,16,3,3,246.11
34,2,16,4,2,433.02
34,2,16,4,3,448.13
34,2,17,1,2,175.19
34,2,17,1,3,234.58
34,2,17,2,2,279.87
34,2,17,2,3,497.09
34,2,17,3,2,128.22
34,2,17,3,3,246.63
34,2,17,4,2,262.83
34,2,17,4,3,447.45
34,2,18,1,2,75.54
34,2,18,1,3,234.97
34,2,18,2,2,139.14
34,2,18,2,3,497.36
34,2,18,3,2,37.43
34,2,18,3,3,247.02
34,2,18,4,2,53.79
34,2,18,4,3,447.41
34,2,19,1,2,8.82
34,2,19,1,3,235.34
34,2,19,2,2,32.65
34,2,19,2,3,496.68
34,2,19,3,2,0.46
34,2,19,3,3,246.59
34,2,19,4,3,450.83
34,2,20,1,2,1.91
34,2,20,1,3,234.78
34,2,20,2,2,0.03
34,2,20,2,3,495.78
34,2,20,3,2,0.01
34,2,20,3,3,246.73
34,2,20,4,2,0.18
34,2,20,4,3,450.04
34,2,21,1,3,235.4
34,2,21,2,3,495.43
34,2,21,3,3,245.97
34,2,21,4,3,449.92
34,2,22,1,3,234.81
34,2,22,2,3,494.08
34,2,22,3,3,245.72
34,2,22,4,3,448.86
34,2,23,1,3,233.95
34,2,23,2,3,492.04
34,2,23,3,3,244.49
