 mnumyr,mnumnr,m24,m4,LDLM
34,3,22,1,1847.896
34,3,23,1,1845.474
34,3,24,1,1843.475
34,3,1,2,2876.412
34,3,2,2,2865.941
34,3,3,2,2871.056
34,3,4,2,2868.199
34,3,5,2,2865.804
34,3,6,2,2793.249
34,3,7,2,2635.190
34,3,8,2,2752.761
34,3,9,2,2851.497
34,3,10,2,2987.117
34,3,11,2,3122.309
34,3,12,2,3171.576
34,3,13,2,3202.962
34,3,14,2,3198.209
34,3,15,2,3162.078
34,3,16,2,3043.307
34,3,17,2,2800.590
34,3,18,2,2450.948
34,3,19,2,2445.241
34,3,20,2,2598.677
34,3,21,2,2732.813
34,3,22,2,2800.488
34,3,23,2,2836.410
34,3,24,2,2862.615
34,3,1,3,1648.678
34,3,2,3,1653.888
34,3,3,3,1636.213
34,3,4,3,1630.011
34,3,5,3,1621.502
34,3,6,3,1618.776
34,3,7,3,1635.119
34,3,8,3,1727.611
34,3,9,3,1791.418
34,3,10,3,1806.304
34,3,11,3,1844.050
34,3,12,3,1868.745
34,3,13,3,1871.551
34,3,14,3,1864.114
34,3,15,3,1814.873
34,3,16,3,1752.611
34,3,17,3,1598.126
34,3,18,3,1457.603
34,3,19,3,1514.992
34,3,20,3,1577.585
34,3,21,3,1623.964
34,3,22,3,1633.343
34,3,23,3,1652.416
34,3,24,3,1655.574
34,3,1,4,3429.445
34,3,2,4,3421.363
34,3,3,4,3420.395
34,3,4,4,3419.964
34,3,5,4,3424.934
34,3,6,4,3426.173
34,3,7,4,3459.582
34,3,8,4,3615.833
34,3,9,4,3947.817
34,3,10,4,4018.622
34,3,11,4,4056.183
34,3,12,4,4079.694
34,3,13,4,4086.124
34,3,14,4,4080.957
34,3,15,4,4001.562
34,3,16,4,3808.280
34,3,17,4,3601.619
34,3,18,4,3392.313
34,3,19,4,3445.399
34,3,20,4,3446.792
34,3,21,4,3449.196
34,3,22,4,3438.296
34,3,23,4,3443.669
34,3,24,4,3427.461
34,4,1,1,1675.590
34,4,2,1,1688.647
34,4,3,1,1685.344
34,4,4,1,1681.940
34,4,5,1,1672.699
34,4,6,1,1710.054
34,4,7,1,1798.210
34,4,8,1,1941.885
34,4,9,1,2079.882
34,4,10,1,2139.345
34,4,11,1,2144.933
34,4,12,1,2152.034
34,4,13,1,2161.844
34,4,14,1,2149.180
34,4,15,1,2124.484
34,4,16,1,2112.556
34,4,17,1,1968.713
34,4,18,1,1801.619
34,4,19,1,1719.382
34,4,20,1,1633.644
34,4,21,1,1636.319
34,4,22,1,1621.046
34,4,23,1,1643.136
34,4,24,1,1672.402
34,4,1,2,1829.460
34,4,2,2,1884.874
34,4,3,2,1887.739
34,4,4,2,1886.802
34,4,5,2,1985.298
34,4,6,2,1910.822
34,4,7,2,1800.350
34,4,8,2,2545.081
34,4,9,2,3108.517
34,4,10,2,3263.303
34,4,11,2,3409.513
34,4,12,2,3491.781
34,4,13,2,3515.711
34,4,14,2,3507.622
34,4,15,2,3414.342
34,4,16,2,3267.989
34,4,17,2,2537.895
34,4,18,2,1629.806
34,4,19,2,1278.206
34,4,20,2,1481.587
34,4,21,2,1674.888
34,4,22,2,1768.173
34,4,23,2,1799.143
34,4,24,2,1810.511
34,4,1,3,1365.293
34,4,2,3,1369.474
34,4,3,3,1365.541
34,4,4,3,1370.791
34,4,5,3,1378.405
34,4,6,3,1427.620
34,4,7,3,1481.415
34,4,8,3,1647.336
34,4,9,3,1796.279
34,4,10,3,1903.003
34,4,11,3,1961.136
34,4,12,3,2016.661
34,4,13,3,2032.315
34,4,14,3,1991.493
34,4,15,3,1903.779
34,4,16,3,1758.833
34,4,17,3,1534.502
34,4,18,3,1262.689
34,4,19,3,1268.326
34,4,20,3,1398.247
34,4,21,3,1398.966
34,4,22,3,1386.512
34,4,23,3,1389.648
34,4,24,3,1377.232
34,4,1,4,3083.776
34,4,2,4,3070.215
34,4,3,4,3040.594
34,4,4,4,3026.929
34,4,5,4,2995.494
34,4,6,4,3024.046
34,4,7,4,3194.682
34,4,8,4,3448.221
34,4,9,4,3883.187
34,4,10,4,4106.526
34,4,11,4,4212.761
34,4,12,4,4224.813
34,4,13,4,4227.190
34,4,14,4,4196.767
34,4,15,4,4101.228
34,4,16,4,3849.260
34,4,17,4,3508.327
34,4,18,4,3280.721
34,4,19,4,3147.444
34,4,20,4,3126.683
34,4,21,4,3117.824
34,4,22,4,3078.087
34,4,23,4,3073.349
34,4,24,4,3069.369
34,5,1,1,1035.569
34,5,2,1,1034.892
34,5,3,1,1019.345
34,5,4,1,1011.052
34,5,5,1,1005.710
34,5,6,1,1026.425
34,5,7,1,1035.220
34,5,8,1,1045.325
34,5,9,1,1072.543
34,5,10,1,1100.153
34,5,11,1,1133.643
34,5,12,1,1173.604
34,5,13,1,1208.841
34,5,14,1,1226.563
34,5,15,1,1202.265
34,5,16,1,1139.183
34,5,17,1,1076.078
34,5,18,1,1036.258
34,5,19,1,1040.449
34,5,20,1,1061.123
34,5,21,1,1054.951
34,5,22,1,1038.442
34,5,23,1,1032.787
34,5,24,1,1034.227
34,5,1,2,1577.955
34,5,2,2,1581.448
34,5,3,2,1593.955
34,5,4,2,1584.818
34,5,5,2,1567.047
34,5,6,2,1521.044
34,5,7,2,1447.263
34,5,8,2,1453.053
34,5,9,2,1588.476
34,5,10,2,1814.259
34,5,11,2,1976.754
34,5,12,2,2097.511
34,5,13,2,2140.408
34,5,14,2,2141.361
34,5,15,2,2093.630
34,5,16,2,1963.501
34,5,17,2,1804.647
34,5,18,2,1520.422
34,5,19,2,1325.846
34,5,20,2,1354.715
34,5,21,2,1436.254
34,5,22,2,1516.739
34,5,23,2,1551.771
34,5,24,2,1576.673
34,5,1,3,952.473
34,5,2,3,948.251
34,5,3,3,936.873
34,5,4,3,932.795
34,5,5,3,931.419
34,5,6,3,948.802
34,5,7,3,955.053
34,5,8,3,968.546
34,5,9,3,990.152
34,5,10,3,1027.759
34,5,11,3,1055.351
34,5,12,3,1075.725
34,5,13,3,1077.778
34,5,14,3,1073.093
34,5,15,3,1061.899
34,5,16,3,1043.534
34,5,17,3,977.623
34,5,18,3,918.159
34,5,19,3,941.960
34,5,20,3,983.470
34,5,21,3,975.128
34,5,22,3,959.452
34,5,23,3,954.039
34,5,24,3,950.856
34,5,1,4,1987.452
34,5,2,4,1964.800
34,5,3,4,1957.042
34,5,4,4,1944.638
34,5,5,4,1937.728
34,5,6,4,1946.662
34,5,7,4,1956.427
34,5,8,4,1979.881
34,5,9,4,2026.868
34,5,10,4,2065.261
34,5,11,4,2085.885
34,5,12,4,2105.619
34,5,13,4,2116.135
34,5,14,4,2113.167
34,5,15,4,2088.640
34,5,16,4,2068.101
34,5,17,4,2028.976
34,5,18,4,1989.414
34,5,19,4,2045.271
34,5,20,4,2045.797
34,5,21,4,2043.156
34,5,22,4,2035.031
34,5,23,4,2015.491
34,5,24,4,1987.341
34,6,1,1,1227.290
34,6,2,1,1257.270
34,6,3,1,1233.918
34,6,4,1,1222.993
34,6,5,1,1206.790
34,6,6,1,1218.729
34,6,7,1,1257.077
34,6,8,1,1393.586
34,6,9,1,2691.871
34,6,10,1,3949.964
34,6,11,1,4784.044
34,6,12,1,4272.186
34,6,13,1,3828.618
34,6,14,1,3556.629
34,6,15,1,3081.471
34,6,16,1,1920.036
34,6,17,1,1490.479
34,6,18,1,1341.275
34,6,19,1,1313.392
34,6,20,1,1298.326
34,6,21,1,1307.464
34,6,22,1,1300.139
34,6,23,1,1294.515
34,6,24,1,1281.047
34,6,1,2,1460.719
34,6,2,2,1453.310
34,6,3,2,1426.614
34,6,4,2,1408.088
34,6,5,2,1386.629
34,6,6,2,1394.897
34,6,7,2,1774.814
34,6,8,2,2358.872
34,6,9,2,4941.852
34,6,10,2,7027.671
34,6,11,2,7956.214
34,6,12,2,5671.397
34,6,13,2,5482.825
34,6,14,2,5181.914
34,6,15,2,3768.742
34,6,16,2,3041.757
34,6,17,2,2540.108
34,6,18,2,1966.278
34,6,19,2,1606.998
34,6,20,2,1553.068
34,6,21,2,1545.827
34,6,22,2,1531.680
34,6,23,2,1519.204
34,6,24,2,1496.154
34,6,1,3,904.954
34,6,2,3,921.827
34,6,3,3,907.198
34,6,4,3,896.756
34,6,5,3,883.866
34,6,6,3,893.609
34,6,7,3,1037.559
34,6,8,3,1303.175
34,6,9,3,2845.192
34,6,10,3,3973.617
34,6,11,3,4475.246
34,6,12,3,3048.819
34,6,13,3,3045.927
34,6,14,3,2982.249
34,6,15,3,2184.062
34,6,16,3,1503.270
34,6,17,3,1301.440
34,6,18,3,1136.723
34,6,19,3,999.984
34,6,20,3,978.993
34,6,21,3,974.285
34,6,22,3,961.008
34,6,23,3,952.780
34,6,24,3,941.036
34,6,1,4,2104.924
34,6,2,4,2154.021
34,6,3,4,2124.098
34,6,4,4,2103.531
34,6,5,4,2078.693
34,6,6,4,2095.780
34,6,7,4,2239.441
34,6,8,4,2575.608
34,6,9,4,3838.452
34,6,10,4,6151.810
34,6,11,4,7476.962
34,6,12,4,5875.592
34,6,13,4,6082.953
34,6,14,4,5530.120
34,6,15,4,4146.492
34,6,16,4,3109.012
34,6,17,4,2750.492
34,6,18,4,2495.035
34,6,19,4,2295.195
34,6,20,4,2250.158
34,6,21,4,2238.686
34,6,22,4,2217.988
34,6,23,4,2206.058
34,6,24,4,2183.707
34,7,1,1,1425.210
34,7,2,1,1428.100
34,7,3,1,1387.918
34,7,4,1,1347.443
34,7,5,1,1289.344
34,7,6,1,1274.271
34,7,7,1,1292.233
34,7,8,1,1363.678
34,7,9,1,1470.785
34,7,10,1,1551.599
34,7,11,1,1574.245
34,7,12,1,1596.941
34,7,13,1,1611.906
34,7,14,1,1588.940
34,7,15,1,1529.671
34,7,16,1,1475.147
34,7,17,1,1400.188
34,7,18,1,1397.101
34,7,19,1,1377.807
34,7,20,1,1349.940
34,7,21,1,1336.331
34,7,22,1,1310.118
34,7,23,1,1351.729
34,7,24,1,1392.936
34,7,1,2,1888.493
34,7,2,2,1886.395
34,7,3,2,1894.175
34,7,4,2,1941.316
34,7,5,2,2085.214
34,7,6,2,2104.240
34,7,7,2,2133.835
34,7,8,2,2320.453
34,7,9,2,2578.430
34,7,10,2,2644.873
34,7,11,2,2673.600
34,7,12,2,2710.227
34,7,13,2,2694.389
34,7,14,2,2697.581
34,7,15,2,2703.266
34,7,16,2,2578.938
34,7,17,2,2266.950
34,7,18,2,2045.980
34,7,19,2,1983.322
34,7,20,2,1986.800
34,7,21,2,1998.012
34,7,22,2,2003.534
34,7,23,2,1942.696
34,7,24,2,1907.313
34,7,1,3,1222.141
34,7,2,3,1237.217
34,7,3,3,1210.912
34,7,4,3,1216.490
34,7,5,3,1243.945
34,7,6,3,1234.928
34,7,7,3,1242.192
34,7,8,3,1278.580
34,7,9,3,1319.711
34,7,10,3,1321.726
34,7,11,3,1330.787
34,7,12,3,1342.774
34,7,13,3,1336.765
34,7,14,3,1327.308
34,7,15,3,1331.226
34,7,16,3,1319.975
34,7,17,3,1291.597
34,7,18,3,1277.582
34,7,19,3,1279.695
34,7,20,3,1249.097
34,7,21,3,1233.531
34,7,22,3,1243.601
34,7,23,3,1206.264
34,7,24,3,1221.360
34,7,1,4,2737.391
34,7,2,4,2723.054
34,7,3,4,2641.797
34,7,4,4,2634.803
34,7,5,4,2620.353
34,7,6,4,2594.715
34,7,7,4,2609.711
34,7,8,4,2658.597
34,7,9,4,2818.226
34,7,10,4,2836.923
34,7,11,4,2866.739
34,7,12,4,2896.726
34,7,13,4,2905.910
34,7,14,4,2868.155
34,7,15,4,2831.138
34,7,16,4,2803.890
34,7,17,4,2766.831
34,7,18,4,2859.284
34,7,19,4,2852.177
34,7,20,4,2765.465
34,7,21,4,2730.083
34,7,22,4,2677.797
34,7,23,4,2740.547
34,7,24,4,2753.400
34,8,1,1,899.905
34,8,2,1,899.492
34,8,3,1,879.291
34,8,4,1,866.831
34,8,5,1,832.823
34,8,6,1,816.614
34,8,7,1,813.644
34,8,8,1,840.750
34,8,9,1,897.312
34,8,10,1,944.418
34,8,11,1,1002.314
34,8,12,1,976.661
34,8,13,1,1005.168
34,8,14,1,1007.779
34,8,15,1,939.520
34,8,16,1,910.960
34,8,17,1,911.040
34,8,18,1,923.441
34,8,19,1,895.378
34,8,20,1,882.793
34,8,21,1,900.173
34,8,22,1,902.504
34,8,23,1,912.405
34,8,24,1,913.722
34,8,1,2,1339.927
34,8,2,2,1336.307
34,8,3,2,1313.071
34,8,4,2,1297.499
34,8,5,2,1286.573
34,8,6,2,1338.438
34,8,7,2,1373.256
34,8,8,2,1525.146
34,8,9,2,1669.935
34,8,10,2,1731.619
34,8,11,2,1762.081
34,8,12,2,1788.150
34,8,13,2,1800.195
34,8,14,2,1799.552
34,8,15,2,1777.606
34,8,16,2,1729.700
34,8,17,2,1613.149
34,8,18,2,1491.537
34,8,19,2,1369.346
34,8,20,2,1329.502
34,8,21,2,1341.619
34,8,22,2,1314.721
34,8,23,2,1333.836
34,8,24,2,1352.336
34,8,1,3,788.704
34,8,2,3,788.445
34,8,3,3,770.711
34,8,4,3,753.845
34,8,5,3,736.613
34,8,6,3,751.589
34,8,7,3,765.583
34,8,8,3,812.282
34,8,9,3,861.321
34,8,10,3,873.780
34,8,11,3,884.797
34,8,12,3,891.765
34,8,13,3,896.440
34,8,14,3,893.675
34,8,15,3,894.452
34,8,16,3,887.237
34,8,17,3,844.535
34,8,18,3,824.684
34,8,19,3,810.888
34,8,20,3,799.078
34,8,21,3,790.343
34,8,22,3,774.213
34,8,23,3,795.160
34,8,24,3,801.300
34,8,1,4,1736.481
34,8,2,4,1704.621
34,8,3,4,1644.147
34,8,4,4,1641.586
34,8,5,4,1628.627
34,8,6,4,1650.042
34,8,7,4,1661.725
34,8,8,4,1699.887
34,8,9,4,1792.251
34,8,10,4,1811.092
34,8,11,4,1833.213
34,8,12,4,1848.318
34,8,13,4,1849.672
34,8,14,4,1850.885
34,8,15,4,1847.712
34,8,16,4,1845.460
34,8,17,4,1800.152
34,8,18,4,1797.803
34,8,19,4,1734.239
34,8,20,4,1684.232
34,8,21,4,1696.333
34,8,22,4,1716.177
34,8,23,4,1714.448
34,8,24,4,1710.768
34,9,1,1,390.339
34,9,2,1,389.920
34,9,3,1,379.637
34,9,4,1,370.792
34,9,5,1,356.809
34,9,6,1,358.136
34,9,7,1,367.704
34,9,8,1,403.306
34,9,9,1,485.609
34,9,10,1,629.651
34,9,11,1,643.111
34,9,12,1,694.042
34,9,13,1,702.766
34,9,14,1,672.415
34,9,15,1,584.131
34,9,16,1,509.226
34,9,17,1,440.333
34,9,18,1,396.443
34,9,19,1,383.709
34,9,20,1,374.159
34,9,21,1,375.265
34,9,22,1,369.318
34,9,23,1,376.299
34,9,24,1,383.066
