!***************************************************************
!wlco2.txt
%*****************************************************************************
%  Industrial CO2 data
%*****************************************************************************
%
%   Section 4: CO2 Constraints
%
@
Y      C Use NATURAL sources of CO2 (Y/N)
Y      C Use INDUSTRIAL sources of CO2 (Y/N)
%
% BASE CO2 VOLUMES BY REGION AND SOURCE (BCF/YR)
%   EAST COAST   GULF COAST   MIDCONTINENT   SOUTHWEST   ROCKY MOUNTAINS   WEST COAST   NORTHERN GREAT PLAINS     C  SOURCE
@
       0.00       291.96         16.02       657.00          79.92             0.00              0.00             C  NATURAL      
%
% BIN Dollar Amount Breakpoints
@
  35.0 40.0 43.0 47.0 50.0 53.0 70.0 150.0
%
%Cnt R ID      S Source   D_tonne  MMT         Bin
@
  47 2 1006659 5 Cement    131.68  0.592541244 8
  48 2 1003286 1 Hydrogen  133.46  0.222222744 8
  49 2 1004630 1 Hydrogen  137.16  0.147861072 8
  50 2 1006234 5 Cement    138.41  0.481824027 8
  51 2 1008033 5 Cement    139.10  0.472197708 8
  52 2 1006363 5 Cement    140.00  0.42790932  8
  53 2 1003303 5 Cement    145.77  0.449801199 8
  54 2 1007985 5 Cement    147.59  0.372553704 8
  55 2 1004758 5 Cement    150.44  0.39621375  8
  56 2 1004270 5 Cement    150.63  0.320096106 8
  57 2 1006110 5 Cement    155.08  0.28614573  8
  58 2 1008110 1 Hydrogen  155.78  0.088096824 8
  59 2 1005458 5 Cement    158.95  0.319323942 8
  60 2 1000533 5 Cement    165.97  0.270775638 8
  61 2 1005911 1 Hydrogen  179.92  0.051185736 8
  62 2 1005125 1 Hydrogen  230.35  0.02176362  8
  63 2 1005879 1 Hydrogen  231.36  0.02251224  8
  64 2 1008014 1 Hydrogen  257.54  0.018826704 8
  65 2 1006500 1 Hydrogen  317.55  0.007885188 8
  66 2 1006499 1 Hydrogen  342.52  0.006276564 8
   1 3 1006047 3 Ethanol    35.86  4.000725053 2
   2 3 1006208 3 Ethanol    38.13  1.962522718 2
   3 3 1004418 9 NGP        40.24  0.24819656  3
   4 3 1002484 9 NGP        41.00  0.2254943   3
   5 3 1004715 9 NGP        41.41  0.2043992   3
   6 3 1002255 9 NGP        41.95  0.18889412  3
   7 3 1002170 2 Ammonia    45.28  0.412728328 4
   8 3 1006184 9 NGP        45.56  0.11892868  4
   9 3 1005526 3 Ethanol    46.49  0.259628226 4
  10 3 1000063 3 Ethanol    47.14  0.232889202 5
  11 3 1006946 3 Ethanol    47.25  0.236155452 5
  12 3 1003907 3 Ethanol    48.08  0.213411484 5
  13 3 1002703 3 Ethanol    48.14  0.206307114 5
  14 3 1005929 3 Ethanol    48.27  0.208691444 5
  15 3 1000872 3 Ethanol    48.42  0.205149412 5
  16 3 1006141 3 Ethanol    49.73  0.253391632 5
  17 3 1001967 3 Ethanol    49.96  0.246489841 5
  18 3 1002379 3 Ethanol    50.20  0.239560581 6
  19 3 1002690 3 Ethanol    50.22  0.238877808 6
  20 3 1006534 3 Ethanol    50.42  0.233357657 6
  21 3 1000344 3 Ethanol    50.69  0.15517216  6
  22 3 1003970 3 Ethanol    50.70  0.226031858 6
  23 3 1006203 3 Ethanol    50.70  0.14802996  6
  24 3 1002138 3 Ethanol    50.73  0.225267705 6
  25 3 1003834 3 Ethanol    50.74  0.224908684 6
  26 3 1002505 3 Ethanol    50.77  0.224103685 6
  27 3 1004079 3 Ethanol    50.86  0.221779311 6
  28 3 1002560 3 Ethanol    50.95  0.219645088 6
  29 3 1005626 3 Ethanol    50.98  0.218869443 6
  30 3 1003737 3 Ethanol    51.00  0.218431759 6
  31 3 1002627 3 Ethanol    51.07  0.21660431  6
  32 3 1003855 3 Ethanol    51.24  0.212596618 6
  33 3 1006694 3 Ethanol    51.24  0.146502512 6
  34 3 1004425 9 NGP        51.39  0.0635112   6 
  35 3 1002443 3 Ethanol    51.52  0.205966982 6
  36 3 1002995 3 Ethanol    51.53  0.205618478 6
  37 3 1005306 9 NGP        51.57  0.15756806  6
  38 3 1005306 3 Ethanol    51.57  0.204838478 6
  39 3 1003573 3 Ethanol    51.63  0.203428628 6
  40 3 1005369 3 Ethanol    53.49  0.117340314 7
  41 3 1006486 9 NGP        53.53  0.05238315  7
  42 3 1004731 3 Ethanol    53.71  0.118014546 7
  43 3 1002962 3 Ethanol    54.43  0.107553732 7
  44 3 1003282 3 Ethanol    54.56  0.106228122 7
  45 3 1007809 3 Ethanol    54.60  0.108713748 7
  46 3 1005020 3 Ethanol    54.65  0.108180085 7
  47 3 1007847 3 Ethanol    55.03  0.104528918 7
  48 3 1002124 3 Ethanol    55.27  0.102328343 7
  49 3 1005149 3 Ethanol    55.48  0.100498606 7
  50 3 1003837 3 Ethanol    55.60  0.099440484 7
  51 3 1005586 3 Ethanol    55.64  0.099091564 7
  52 3 1004288 3 Ethanol    55.68  0.13480636  7
  53 3 1001143 3 Ethanol    56.22  0.094235258 7
  54 3 1002173 3 Ethanol    56.32  0.09344985  7
  55 3 1005727 3 Ethanol    56.32  0.127059777 7
  56 3 1001678 3 Ethanol    56.36  0.09311354  7
  57 3 1005683 3 Ethanol    56.38  0.090579411 7
  58 3 1003954 3 Ethanol    56.48  0.08978437  7
  59 3 1004230 3 Ethanol    56.61  0.091124722 7
  60 3 1004331 3 Ethanol    56.82  0.121525976 7
  61 3 1004332 3 Ethanol    57.33  0.116141298 7
  62 3 1006552 3 Ethanol    57.50  0.078815984 7
  63 3 1003498 3 Ethanol    57.62  0.113138064 7
  64 3 1002148 3 Ethanol    57.87  0.08002254  7
  65 3 1006007 3 Ethanol    57.99  0.109644704 7
  66 3 1001677 3 Ethanol    58.06  0.078797004 7
  67 3 1002082 3 Ethanol    58.13  0.074891024 7
  68 3 1000857 3 Ethanol    58.20  0.079924026 7
  69 3 1006936 3 Ethanol    58.35  0.073611707 7
  70 3 1004984 3 Ethanol    58.53  0.077869051 7
  71 3 1004490 3 Ethanol    58.57  0.104322036 7
  72 3 1004091 3 Ethanol    58.61  0.072094464 7
  73 3 1007830 3 Ethanol    58.67  0.076995932 7
  74 3 1007529 3 Ethanol    59.25  0.098544108 7
  75 3 1007565 3 Ethanol    59.26  0.098511296 7
  76 3 1004792 3 Ethanol    59.50  0.067267772 7
  77 3 1006825 3 Ethanol    59.59  0.07166588  7
  78 3 1006084 3 Ethanol    60.55  0.088699494 7
  79 3 1002349 3 Ethanol    60.60  0.064749074 7
  80 3 1006662 3 Ethanol    61.12  0.06230055  7
  81 3 1000405 3 Ethanol    61.14  0.059504146 7
  82 3 1005476 3 Ethanol    61.54  0.060420958 7
  83 3 1002809 3 Ethanol    61.99  0.07935811  7
  84 3 1002950 3 Ethanol    64.80  0.049467288 7
  85 3 1004039 3 Ethanol    64.98  0.047638214 7
  86 3 1005322 3 Ethanol    65.10  0.063372972 7
  87 3 1003924 3 Ethanol    67.12  0.042604562 7
  88 3 1005960 3 Ethanol    67.50  0.053969838 7
  89 3 1001865 3 Ethanol    70.09  0.045860906 8
  90 3 1002177 3 Ethanol    84.97  0.01696552  8
  91 3 1007563 5 Cement    102.49  1.921317381 8
  92 3 1002665 5 Cement    119.99  0.851138658 8
  93 3 1006112 5 Cement    124.57  0.755413641 8
  94 3 1003002 5 Cement    126.66  0.702320742 8
  95 3 1001701 5 Cement    127.36  0.653991723 8
  96 3 1007606 5 Cement    128.67  0.608315868 8
  97 3 1005987 5 Cement    136.00  0.519773913 8
  98 3 1004385 5 Cement    137.36  0.498859587 8
  99 3 1002204 5 Cement    137.88  0.475626276 8
 100 3 1006077 5 Cement    137.95  0.640376847 8
 101 3 1007552 5 Cement    143.76  0.407731986 8
 102 3 1004291 1 Hydrogen  155.33  0.090798336 8
 103 3 1007216 5 Cement    156.79  0.286633746 8
 104 3 1007942 1 Hydrogen  159.30  0.082315512 8
 105 3 1005720 5 Cement    159.63  0.263720538 8
 106 3 1004289 5 Cement    160.85  0.260238096 8
 107 3 1005352 5 Cement    168.19  0.288060165 8
 108 3 1001920 1 Hydrogen  175.35  0.057911616 8
 109 3 1007786 1 Hydrogen  178.43  0.054325606 8
 110 3 1002027 1 Hydrogen  185.49  0.04823334  8
 111 3 1007861 1 Hydrogen  312.19  0.00830484  8
   1 4 1003323 9 NGP        62.20  0.05706966  7
   2 4 1009018 5 Cement    198.92  0.220350483 8
   3 4 1007972 1 Hydrogen  211.04  0.05406372  8
   1 5 1002078 9 NGP        36.35  0.49203844  2
   2 5 1002532 9 NGP        39.92  0.25920966  2
   3 5 1001866 9 NGP        44.82  0.12603064  4
   4 5 1001790 9 NGP        47.78  0.08945918  5
   5 5 1004924 9 NGP        49.60  0.07401438  5
   6 5 1001871 9 NGP        50.30  0.0690741   6
   7 5 1002128 9 NGP        50.72  0.0663241   6
   8 5 1004551 9 NGP        51.32  0.06265318  6
   9 5 1003254 9 NGP        53.57  0.05239648  7
  10 5 1002377 9 NGP        54.53  0.04712949  7
  11 5 1002414 9 NGP        54.89  0.04692646  7
  12 5 1007264 3 Ethanol    58.25  0.077195079 7
  13 5 1006055 3 Ethanol    59.75  0.066470326 7
  14 5 1002083 3 Ethanol    61.28  0.059312656 7
  15 5 1006942 3 Ethanol    62.67  0.053672424 7
  16 5 1001831 3 Ethanol    62.88  0.0863967   7
  17 5 1003008 5 Cement    128.86  0.624805452 8
  18 5 1002530 5 Cement    141.62  0.423410112 8
  19 5 1003067 5 Cement    142.60  0.410621355 8
  20 5 1004131 5 Cement    146.12  0.37367442  8
  21 5 1006669 5 Cement    148.37  0.538508952 8
  22 5 1007877 5 Cement    152.85  0.312588225 8
  23 5 1007217 1 Hydrogen  169.81  0.06334686  8
  24 5 1004174 5 Cement    172.53  0.378534069 8
  25 5 1003643 5 Cement    181.41  0.24446232  8
   1 7 1003779 3 Ethanol    46.15  0.240943027 4
   2 7 1001894 9 NGP        46.91  0.10208494  4
   3 7 1004765 3 Ethanol    47.06  0.214804473 5
   4 7 1001157 3 Ethanol    47.21  0.227728813 5
   5 7 1005386 3 Ethanol    47.39  0.206245364 5
   6 7 1005353 3 Ethanol    47.56  0.201983028 5
   7 7 1004702 3 Ethanol    47.87  0.210072707 5
   8 7 1004526 3 Ethanol    50.83  0.139853272 6
   9 7 1006672 3 Ethanol    51.56  0.129669748 6
  10 7 1007063 3 Ethanol    52.67  0.116101778 6
  11 7 1006030 3 Ethanol    53.27  0.109665244 7
  12 7 1002047 3 Ethanol    53.88  0.103537252 7
  13 7 1001867 3 Ethanol    53.91  0.111319299 7
  14 7 1007367 9 NGP        54.32  0.04973968  7
  15 7 1004713 3 Ethanol    54.61  0.09686989  7
  16 7 1001723 3 Ethanol    55.38  0.090426206 7
  17 7 1004103 3 Ethanol    76.21  0.022900488 8
  18 7 1008006 3 Ethanol    76.56  0.024184745 8
  19 7 1004539 5 Cement    138.66  0.4450302   8
  20 7 1007506 1 Hydrogen  153.75  0.095917212 8
  21 7 1006185 5 Cement    164.82  0.239034033 8
  22 7 1006671 1 Hydrogen  168.04  0.06811956  8
  23 7 1002531 5 Cement    172.54  0.202079664 8
  24 7 1007000 1 Hydrogen  220.96  0.025844688 8
   1 6 1006845 9 NGP        32.68  1.35453136  1
   2 6 1007955 9 NGP        33.92  0.94613476  1
   3 6 1005164 9 NGP        35.93  0.57727666  2
   4 6 1002384 9 NGP        39.78  0.27618814  2
   5 6 1000064 9 NGP        51.64  0.06469987  6
   6 6 1007263 3 Ethanol    62.09  0.057923606 7
   7 6 1002308 5 Cement    109.45  1.3898961   8
   8 6 1006842 5 Cement    119.87  0.905528727 8
   9 6 1005662 5 Cement    124.26  0.77096907  8
  10 6 1007927 5 Cement    129.96  0.634929516 8
  11 6 1002431 5 Cement    131.65  0.600953247 8
  12 6 1001804 1 Hydrogen  136.06  0.162130752 8
  13 6 1002527 5 Cement    143.51  0.409857318 8
  14 6 1006642 5 Cement    152.38  0.333219528 8
  15 6 1006395 1 Hydrogen  157.85  0.08861868  8
  16 6 1005946 5 Cement    171.53  0.196469721 8
  17 6 1004612 5 Cement    186.46  0.158683959 8
  18 6 1002338 1 Hydrogen  221.91  0.026088768 8
  19 6 1002565 1 Hydrogen  350.10  0.00622296  8
   0 0 0       0 EOF         0.00  0.0         0
%
%   CO2 Availibility constraint multiplier
@
1.0
%
%
% DEVELOPMENT LEVERS TO BE APPLIED TO EXISTING CO2 SOURCES
%
% YEARS TO DEVELOP TECHNOLOGY (R&D PHASE) BY SOURCE
%     YEARS          SOURCE
@
        0         C  HYDROGEN
        0         C  AMMONIA
        0         C  ETHANOL
        0         C  NATURAL
        0         C  CEMENT
        0         C  HYDROGEN REFINERIES
        0         C  PLANNED POWER PLANTS        
        0         C  POWER PLANTS
        0         C  NATURAL GAS PROCESSING
        0         C  PLANNED COAL TO LIQUIDS
        0         C  COAL TO LIQUIDS
        0         C  NEW SOURCE 1 
        0         C  NEW SOURCE 2
%
% YEARS TO DEVELOP INFRASTRUCTURE (CAPTURE TECHNOLOGY AND PIPELINE CONSTRUCTION PHASE) BY SOURCE
%     YEARS          SOURCE
@
        4         C  HYDROGEN
        2         C  AMMONIA
        4         C  ETHANOL
        0         C  NATURAL
        7         C  CEMENT
        4         C  HYDROGEN REFINERIES
        100       C  PLANNED POWER PLANTS
        12        C  POWER PLANTS
        2         C  NATURAL GAS PROCESSING
        100       C  PLANNED COAL TO LIQUIDS
        100       C  COAL TO LIQUIDS
        100       C  NEW SOURCE 1
        100       C  NEW SOURCE 2
%
% YEARS TO REACH FULL CAPACITY (MARKET ACCEPTANCE) BY SOURCE
%     YEARS          SOURCE
@
        10         C  HYDROGEN
        10         C  AMMONIA
        10         C  ETHANOL
        10         C  NATURAL        
        10         C  CEMENT
        10         C  HYDROGEN REFINERIES
        100        C  PLANNED POWER PLANTS 
        10         C  POWER PLANTS
        10         C  NATURAL GAS PROCESSING
        100        C  PLANNED COAL TO LIQUIDS
        100        C  COAL TO LIQUIDS
        100        C  NEW SOURCE 1
        100        C  NEW SOURCE 2
%
%
% ANNUAL ACCEPTANCE RATE (% OF ULTIMATE MARKET ACCEPTANCE / YEAR OF MARKET ACCEPTANCE) BY SOURCE
@
       5.0     5.0     5.0     5.0     5.0    10.0    10.0   10.0   10.0   35.0    C HYDROGEN
       5.0     5.0     5.0     5.0     5.0    10.0    10.0   10.0   10.0   35.0    C AMMONIA
       3.0     3.0     3.0     3.0     3.0     5.0    10.0   15.0   15.0   40.0    C ETHANOL
      25.0    25.0    50.0     0.0     0.0     0.0     0.0    0.0    0.0    0.0    C NATURAL
       5.0     5.0     5.0     5.0     5.0    10.0    10.0   10.0   10.0   35.0    C CEMENT
       5.0     5.0     5.0     5.0     5.0    10.0    10.0   10.0   10.0   35.0    C HYDROGEN REFINERIES
       0.0     0.0     0.0     0.0     0.0     0.0     0.0    0.0    0.0    0.0    C PLANNED POWER PLANTS
       1.0     2.0     2.0     5.0    10.0    10.0    10.0   10.0   10.0   40.0    C POWER PLANTS
       5.0    10.0    10.0    10.0    10.0    10.0    10.0   10.0   10.0   15.0    C NATURAL GAS PROCESSING
       0.0     0.0     0.0     0.0     0.0     0.0     0.0    0.0    0.0    0.0    C PLANNED COAL TO LIQUIDS
       0.0     0.0     0.0     0.0     0.0     0.0     0.0    0.0    0.0    0.0    C COAL TO LIQUIDS
       0.0     0.0     0.0     0.0     0.0     0.0     0.0    0.0    0.0    0.0    C NEW SOURCE 1
       0.0     0.0     0.0     0.0     0.0     0.0     0.0    0.0    0.0    0.0    C NEW SOURCE 2
%
%
% ULTIMATE MARKET ACCEPTANCE (%) BY SOURCE
@
      100.0    C HYDROGEN
      100.0    C AMMONIA
      100.0    C ETHANOL
      100.0    C NATURAL      
      100.0    C CEMENT
      100.0    C HYDROGEN REFINERIES
        0.0    C PLANNED POWER PLANTS
      100.0    C POWER PLANTS
      100.0    C NATURAL GAS PROCESSING
        0.0    C PLANNED COAL TO LIQUIDS
        0.0    C COAL TO LIQUIDS
        0.0    C NEW SOURCE 1
        0.0    C NEW SOURCE 2
