!Resid             Play     ITEM  COUNTER
@
UGTX2582116       4742     215     215
UGLA2585016       4745     216     216
UGMS2621216       4901     217     217
UGAL2623616       4903     218     218
UGMS2624116       4904     219     219
UGMS2626116       4907     220     220
UGMS2626716       4909     221     221
UGAL2627916       4910     222     222
UGMS2629916       4912     223     223
UGMS2630416       4913     224     224
UGLA2630816       4915     225     225
UGTX2631916       4916     226     226
UGAL2633816       4918     227     227
UGTX2635216       4920     228     228
UGTX2636116       4922     229     229
UGTX2636916       4924     230     230
UGLA2638216       4926     231     231
UGTX2638716       4927     232     232
UGLA2639616       4929     233     233
UGLA2641116       4931     234     234
UGLA2642216       4933     235     235
UGLA2643416       4935     236     236
UGMS2646416       4941     237     237
UGLA2648116       4946     238     238
UGFL2648616       4947     239     239
UGMI2662816       5101     240     240
UGNE2663016       5303     241     241
UGKS2664416       5501     242     242
UGOK2675016       5801     243     243
UGKS2675616       5802     244     244
UGKS2676016       5803     245     245
UGOK2677016       5804     246     246
UGKS2677516       5805     247     247
UGKS2677916       5807     248     248
UGOK2678716       5809     249     249
UGOK2680416       5812     250     250
UGKS2681216       5813     251     251
UGKS2682316       5814     252     252
UGOK2682916       5815     253     253
UGKS2684416       5816     254     254
UGOK2684816       5817     255     255
UGKS2685316       5818     256     256
UGKS2686916       5819     257     257
UGOK2687616       5820     258     258
UGOK2688516       5821     259     259
UGOK2688916       5822     260     260
UGOK2689716       5823     261     261
UGTX2690116       5824     262     262
UGKS2690416       5825     263     263
UGKS2692116       5902     264     264
UGKS2692616       5903     265     265
UGOK2693216       6001     266     266
UGOK2695016       6101     267     267
UGOK2696816       6104     268     268
UGOK2697616       6107     269     269
UGOK2698016       6108     270     270
UGOK2699116       6111     271     271
UGOK2699616       6202     272     272
UGAR2699916       6203     273     273
UGOK2700216       6204     274     274
UGOK2700816       6205     275     275
UGOK2701516       6206     276     276
UGMI2704216       6308     277     277
UGMI2708616       6312     278     278
UGMI2709616       6318     279     279
UGKY2732616       6405     280     280
UGMS2742916   99923065     281     281
UGAL2742916   99901065     282     282
UGTN2753516   99941067     283     283
UGVA2753816   99945067     284     284
UGMD2753816   99919067     285     285
UGKY2754016   99916067     286     286
UGNY2754116   99931067     287     287
UGWV2754216   99947067     288     288
UGOH2754216   99934067     289     289
UGPA2754216   99937067     290     290
UGNJ2754316   99929067     291     291
UGPA2835516       6802     292     292
UGGA2836116       6901     293     293
UOCA0000217   99904010     294     294
UOCA0000517   99904010     295     295
UOCA0005717   99904010     296     296
UOCA0006217   99904010     297     297
UOCA0007317   99904010     298     298
UOCA0008617   99904010     299     299
UOCA0009417   99904010     300     300
UOCA0010317   99904010     301     301
UOCA0012217   99904010     302     302
UOCA0013317   99904010     303     303
UOUT0001217   99943020     304     304
UOUT0002517   99943020     305     305
UOUT0003917   99943020     306     306
UOCO0001517   99905020     307     307
UOUT0005517   99943020     308     308
UOCO0003217   99905020     309     309
UOUT0007317   99943020     310     310
UOUT0009217   99943020     311     311
UOUT0011217   99943020     312     312
UOCO0005317   99905020     313     313
UOUT0013417   99943020     314     314
UOCO0007617   99905020     315     315
UOUT0015817   99943020     316     316
UOCO0010117   99905020     317     317
UOUT0018417   99943020     318     318
UOCO0012817   99905020     319     319
UOCO0015617   99905020     320     320
UOCO0018517   99905020     321     321
UOCO0021517   99905020     322     322
UOCO0024617   99905020     323     323
UOUT0021617       2103     324     324
UOMT0003317   99925027     325     325
UOMT0019917   99925027     326     326
UOMT0030217   99925027     327     327
UOMT0033817   99925027     328     328
UOMT0062717   99925027     329     329
UOMT0066517   99925027     330     330
UOMT0070417   99925027     331     331
UOMT0074417   99925027     332     332
UOMT0078517   99925027     333     333
UOMT0082717       2804     334     334
UOMT0162617   99925030     335     335
UOMT0210017   99925030     336     336
UOMT0214517   99925030     337     337
UOMT0219117   99925030     338     338
UOMT0223817   99925030     339     339
UOMT0228717   99925030     340     340
UOMT0233717   99925030     341     341
UOMT0238817   99925030     342     342
UOMT0244017   99925030     343     343
UOWY0005617   99949033     347     347
UOWY0011317   99949033     348     348
UOWY0017117   99949033     349     349
UOWY0028817   99949033     350     350
UOWY0034817   99949033     351     351
UOMT0338117   99925033     352     352
UOWY0119017   99949033     353     353
UOMT0356617   99925033     354     354
UOWY0224617   99949033     355     355
UOMT0388317   99925033     356     356
UOWY0320817   99949033     357     357
UOMT0414517   99925033     358     358
UOWY0393617   99949033     359     359
UOMT0434817   99925033     360     360
UOSD0007017   99940033     361     361
UOMT0510917   99925033     362     362
UOMT0518117   99925033     363     363
UOMT0525417   99925033     364     364
UOMT0532817   99925033     365     365
UOSD0014517   99940033     366     366
UOSD0022117   99940033     367     367
UOSD0029817   99940033     368     368
UOSD0037617   99940033     369     369
UOSD0045517   99940033     370     370
UOSD0053517   99940033     371     371
UOSD0061617   99940033     372     372
UOCO0032817   99905037     373     373
UOWY0510717   99949037     374     374
UOCO0049417   99905037     375     375
UOWY0535817   99949037     376     376
UOUT0078217   99943037     377     377
UOCO0074917   99905037     378     378
UOWY0578617   99949037     379     379
UOWY0613917   99949037     380     380
UOCO0092617   99905037     381     381
UOWY0631917   99949037     382     382
UOUT0096017   99943037     383     383
UOCO0128917   99905037     384     384
UOWY0695917   99949037     385     385
UOUT0123917   99943037     386     386
UOCO0138517   99905037     387     387
UOWY0705617   99949037     388     388
UOUT0133717   99943037     389     389
UOCO0148417   99905037     390     390
UOWY0715617   99949037     391     391
UOCO0158517   99905037     392     392
UOWY0725817   99949037     393     393
UOUT0144017   99943037     394     394
UOWY0746417   99949037     395     395
UOUT0154517   99943037     396     396
UOUT0165117   99943037     397     397
UOCO0169217   99905037     398     398
UOUT0186517   99943037     399     399
UOUT0197417   99943037     400     400
